mic	X1	X2	value
2	LAMP1	ABCA7	0.597
4	AK2	AIF1L	0.6607
11	AP1S1	AIF1L	0.7833
7	AURKA	AIF1L	0.7101
4	FADS2	AIF1L	0.834
9	GRHL2	AIF1L	0.5111
8	HDGF	AIF1L	0.8881
2	HUNK	AIF1L	0.687
11	LMNB1	AIF1L	0.6192
1	PRKX	AIF1L	0.6284
8	PRR5-ARHGAP8	AIF1L	0.6642
12	RAPGEF5	AIF1L	0.8169
1	SKA3	AIF1L	0.5931
12	STK35	AIF1L	0.7897
10	TCF7L2	AIF1L	0.5447
11	ZNF608	AIF1L	0.5865
2	AQR	AIF1L	0.6506
5	ATXN3	AIF1L	0.5352
4	ELF2	AIF1L	0.502
2	FBXO31	AIF1L	0.623
5	PELI2	AIF1L	0.5022
8	PLEKHA5	AIF1L	0.5377
8	REPS2	AIF1L	0.5469
1	TRPC1	AIF1L	0.7232
1	ZNF66	AIF1L	0.5692
2	ZNF93	AIF1L	0.5554
18	COL1A2	AIFM1	0.516
1	LGALS3BP	AIFM1	0.7723
3	NCAPG	AIFM1	0.5486
9	SEL1L3	AIFM1	0.8852
1	ULK4	AIFM1	0.5932
4	ATP8A1	AIFM1	0.7201
7	LRCH2	AIFM1	0.665
18	SLC22A3	AIFM1	0.5644
9	SNCAIP	AIFM1	0.5986
11	TPTE2P3	AIFM1	0.6074
1	BVES	ANLN	0.6231
5	COL1A2	ANLN	0.7338
1	LGALS3BP	ANLN	0.6425
13	SEL1L3	ANLN	0.6515
16	SORT1	ANLN	0.5268
5	ATP8A1	ANLN	0.8316
6	PPIG	ANLN	0.6638
7	SNCAIP	ANLN	0.5043
4	TPTE2P3	ANLN	0.5655
16	TRHDE	ANLN	0.6711
5	AK2	ANXA11	0.5585
7	AP1S1	ANXA11	0.5206
3	PRKX	ANXA11	0.6035
8	TCF7L2	ANXA11	0.5231
2	AQR	ANXA11	0.7569
6	ATXN3	ANXA11	0.5909
1	FAM210B	ANXA11	0.5141
4	FBXO31	ANXA11	0.6066
3	MBOAT2	ANXA11	0.5561
9	MOB1B	ANXA11	0.6491
8	OCRL	ANXA11	0.5936
3	PELI2	ANXA11	0.7694
7	PLEKHA5	ANXA11	0.6887
9	REPS2	ANXA11	0.82
6	TCTN1	ANXA11	0.5342
11	TGFBR3	ANXA11	0.5374
2	TMEM161B	ANXA11	0.5286
1	TMEM38B	ANXA11	0.6694
5	TMEM50B	ANXA11	0.7364
3	ZNF483	ANXA11	0.53
1	DTL	ANXA3	0.5266
1	FADS2	ANXA3	0.5239
1	TMEM38B	ANXA3	0.7965
4	AK2	AP1S1	0.5872
34	AP1S1	AP1S1	0.8101
2	HUNK	AP1S1	0.6291
1	PRKX	AP1S1	0.756
3	PTPRS	AP1S1	0.5055
4	RAB5C	AP1S1	0.5219
15	RAPGEF5	AP1S1	0.6504
2	SKA3	AP1S1	0.5636
12	TCF7L2	AP1S1	0.6556
2	AQR	AP1S1	0.7877
4	ATXN3	AP1S1	0.5457
4	ELF2	AP1S1	0.5478
9	FBXO31	AP1S1	0.7311
11	MBOAT2	AP1S1	0.6624
12	MOB1B	AP1S1	0.5088
9	OCRL	AP1S1	0.7262
6	PELI2	AP1S1	0.6118
11	PLEKHA5	AP1S1	0.6501
10	REPS2	AP1S1	0.7766
4	TCTN1	AP1S1	0.608
10	TMEM161B	AP1S1	0.6461
7	TMEM50B	AP1S1	0.5689
3	ZNF66	AP1S1	0.5442
7	ZNF93	AP1S1	0.5173
2	AK2	AP1S3	0.5686
3	AURKA	AP1S3	0.5765
4	DTL	AP1S3	0.6876
1	FADS2	AP1S3	0.5495
6	GRHL2	AP1S3	0.5398
3	HDGF	AP1S3	0.7639
1	HUNK	AP1S3	0.5777
1	PRR5-ARHGAP8	AP1S3	0.9142
6	RAPGEF5	AP1S3	0.5765
2	SORT1	AP1S3	0.595
9	STK35	AP1S3	0.5476
3	UGT8	AP1S3	0.7835
11	ZNF608	AP1S3	0.5935
1	ZNF707	AP1S3	0.5945
1	LAMP1	APH1B	0.6304
3	CNOT7	APH1B	0.5029
1	CRYM-AS1	APH1B	0.6422
4	MOB1B	APH1B	0.7749
1	OCRL	APH1B	0.638
3	REPS2	APH1B	0.5477
1	STAMBPL1	APH1B	0.5165
1	PFKFB4	APLP1	0.5134
1	ATP8A1	APLP1	0.7692
1	RAD9B	APLP1	0.6035
1	TGFBR3	APLP1	0.7255
1	CCDC146	ARF6	0.6464
16	GRHL2	ARF6	0.8352
7	PTPRS	ARF6	0.8691
16	RASGRP1	ARF6	0.5244
40	TCF7L2	ARF6	0.75
5	ZNF707	ARF6	0.8248
34	AKT3	ARF6	0.5765
11	FBXO31	ARF6	0.6302
18	VPS35	ARF6	0.5339
2	ACTR2	ASNS	0.6365
2	DDAH1	ASNS	0.6171
2	GRHL2	ASNS	0.7173
1	NCAPG	ASNS	0.6158
1	NUSAP1	ASNS	0.6576
5	STK35	ASNS	0.5281
1	VPS35	ASNS	0.5263
7	ZNF292	ASNS	0.65
2	AK2	ASS1	0.548
5	AP1S1	ASS1	0.7178
5	AURKA	ASS1	0.5502
4	FADS2	ASS1	0.7908
2	HDGF	ASS1	0.6719
1	HUNK	ASS1	0.7134
5	PRR5-ARHGAP8	ASS1	0.5635
1	PTPRS	ASS1	0.6292
4	RAPGEF5	ASS1	0.5892
3	STK35	ASS1	0.6349
5	TCF7L2	ASS1	0.6104
1	FAM210B	ASS1	0.7104
5	MBOAT2	ASS1	0.6408
6	PLEKHA5	ASS1	0.8127
2	REPS2	ASS1	0.7257
1	RPS6KA6	ASS1	0.5526
1	TCTN1	ASS1	0.592
5	TMEM38B	ASS1	0.6147
3	TMEM50B	ASS1	0.5943
1	TUSC3	ASS1	0.5098
3	ZNF66	ASS1	0.6365
3	BVES	ATP2A2	0.5145
31	COL1A2	ATP2A2	0.7331
7	ITGA3	ATP2A2	0.5418
16	PFKFB4	ATP2A2	0.6339
20	TM9SF4	ATP2A2	0.6496
2	ASXL3	ATP2A2	0.5669
8	ATP8A1	ATP2A2	0.6274
1	L3MBTL4	ATP2A2	0.6243
42	TGFBR3	ATP2A2	0.5638
41	TRHDE	ATP2A2	0.8287
17	VIM	ATP2A2	0.5243
3	ATP1A1	AURKB	0.6376
11	DTL	AURKB	0.5877
9	PFKFB4	AURKB	0.8279
9	TM9SF4	AURKB	0.6539
1	L3MBTL4	AURKB	0.9134
4	PPIG	AURKB	0.6757
13	TGFBR3	AURKB	0.8138
10	TMEM38B	AURKB	0.5047
9	AP1S1	BCAM	0.6826
5	FADS2	BCAM	0.6912
1	HDGF	BCAM	0.5979
2	RACGAP1	BCAM	0.6674
12	WNK1	BCAM	0.5935
3	AQR	BCAM	0.6994
1	ATXN3	BCAM	0.6005
1	ELF2	BCAM	0.5413
4	FAM210B	BCAM	0.5253
1	L3MBTL4	BCAM	0.6994
2	PDZRN3	BCAM	0.5153
2	PELI2	BCAM	0.5068
6	PSD3	BCAM	0.5101
3	REPS2	BCAM	0.6929
11	TGFBR3	BCAM	0.6092
1	TMEM50B	BCAM	0.8465
1	TRPC1	BCAM	0.7014
3	ZNF66	BCAM	0.6137
