mic	X1	X2	value
2	KBTBD11-OT1	AIF1L	0.5356
1	HCP5	AIFM1	0.6423
1	RP11-436H11.5	ANXA11	0.8768
1	KBTBD11-OT1	ANXA11	0.5155
2	KBTBD11-OT1	AP1S1	0.7134
1	WDFY3-AS2	AP1S3	0.754
12	PRKCQ-AS1	ARF6	0.8692
1	ZEB2-AS1	ARF6	0.5852
4	KBTBD11-OT1	ARF6	0.8236
1	PRKCQ-AS1	ASNS	0.8548
9	SHANK2-AS3	ATP2A2	0.788
1	PRKAR2A-AS1	ATP2A2	0.9026
1	THRB-IT1	ATP2A2	0.699
10	OLMALINC	ATP2A2	0.5072
8	OLMALINC	AURKB	0.7418
1	PRKCQ-AS1	BCAP31	0.578
1	KBTBD11-OT1	BCAP31	0.8503
1	SHANK2-AS3	BCL2A1	0.7707
2	HCP5	BID	0.8598
1	RP11-436H11.5	BIK	0.8234
1	WDFY3-AS2	BIRC5	0.5545
4	SHANK2-AS3	CAP1	0.7153
3	HCP5	CAP1	0.8871
2	SHANK2-AS3	CASP8	0.5796
1	PRKAR2A-AS1	CASP8	0.6727
1	THRB-IT1	CASP8	0.6991
2	OLMALINC	CASP8	0.6397
1	WDFY3-AS2	CD109	0.5136
3	KBTBD11-OT1	CD109	0.9787
8	HCP5	CD47	0.8939
1	PRKAR2A-AS1	CD47	0.7315
1	THRB-IT1	CD47	0.5592
1	HCP5	CD58	0.6166
3	WDFY3-AS2	CDH1	0.6164
2	PRKCQ-AS1	CDH1	0.7668
5	KBTBD11-OT1	CDH1	0.5213
1	RP11-436H11.5	CFB	0.8222
3	HCP5	CHST11	0.8695
7	SHANK2-AS3	CKAP2	0.5661
1	PRKAR2A-AS1	CKAP2	0.7924
1	HCP5	CLPTM1L	0.6895
8	SHANK2-AS3	COL1A1	0.5416
1	WDFY3-AS2	CORO1A	0.8702
8	OLMALINC	CORO1A	0.634
1	WDFY3-AS2	CXCL1	0.6974
1	OLMALINC	CXCL6	0.7201
9	SHANK2-AS3	DCBLD2	0.8036
6	HCP5	DCBLD2	0.7082
1	PRKAR2A-AS1	DCBLD2	0.7586
1	PRKAR2A-AS1	DCDC2	0.8693
1	THRB-IT1	DCDC2	0.5298
1	WDFY3-AS2	DSC2	0.8772
1	RP11-436H11.5	DSC2	0.7006
5	SHANK2-AS3	DSCAM	0.5333
1	SHANK2-AS3	DSP	0.5552
2	SHANK2-AS3	DUSP3	0.8798
